
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000244                       # Number of seconds simulated (Second)
simTicks                                    243573500                       # Number of ticks simulated (Tick)
finalTick                                   243573500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.78                       # Real time elapsed on the host (Second)
hostTickRate                                136670221                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     703636                       # Number of bytes of host memory used (Byte)
simInsts                                       344524                       # Number of instructions simulated (Count)
simOps                                         659159                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   193298                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     369825                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           487148                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.413974                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.707227                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          795443                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       81                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         756719                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    641                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               136359                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            215134                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  45                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              378494                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.999289                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.433958                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    185450     49.00%     49.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     24268      6.41%     55.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     32567      8.60%     64.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     33592      8.88%     72.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     26908      7.11%     80.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     30187      7.98%     87.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     21353      5.64%     93.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     13496      3.57%     97.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     10673      2.82%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                378494                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8384     83.70%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     83.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     17      0.17%     83.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     83.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    518      5.17%     89.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     2      0.02%     89.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     89.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     89.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     89.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   14      0.14%     89.20% # attempts to use FU when none available (Count)
